product_id,product_name,category,current_stock,past_30d_demand,forecasted_30d_demand,demand_category,stock_status,action_recommendation,explanation
PROD-100,Wireless Noise-Canceling Headphones,Electronics,374,42,43,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (374) is more than 2.5x projected 30-day demand (43). Excess inventory: 331 units.
PROD-101,Ultra-Wide 4K Gaming Monitor,Electronics,678,31,40,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (678) is more than 2.5x projected 30-day demand (40). Excess inventory: 638 units.
PROD-102,Ergonomic Mechanical Keyboard,Electronics,704,48,57,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (704) is more than 2.5x projected 30-day demand (57). Excess inventory: 647 units.
PROD-103,High-Speed USB-C Hub 8-in-1,Electronics,786,33,37,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (786) is more than 2.5x projected 30-day demand (37). Excess inventory: 749 units.
PROD-104,Portable Bluetooth Speaker,Electronics,214,33,30,LOW DEMAND,REORDER RECOMMENDED,Place purchase order within 6 days to maintain buffer stock.,Stock level (214) has reached or dropped below reorder point (215).
PROD-105,Smart Watch Fitness Tracker,Electronics,143,51,47,STABLE DEMAND,REORDER RECOMMENDED,Place purchase order within 8 days to maintain buffer stock.,Stock level (143) has reached or dropped below reorder point (161).
PROD-106,Premium Leather Journal,Office Supplies,426,42,37,DECLINING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (426) is more than 2.5x projected 30-day demand (37). Excess inventory: 389 units.
PROD-107,Gel Pen Set 12-Pack,Office Supplies,397,55,68,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (397) is more than 2.5x projected 30-day demand (68). Excess inventory: 329 units.
PROD-108,Adjustable Laptop Stand,Office Supplies,762,54,60,STABLE DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (762) is more than 2.5x projected 30-day demand (60). Excess inventory: 702 units.
PROD-109,Shredder Cross-Cut Heavy Duty,Office Supplies,395,23,27,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (395) is more than 2.5x projected 30-day demand (27). Excess inventory: 368 units.
PROD-110,Desk Organizer Mesh Drawer,Office Supplies,668,29,25,DECLINING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (668) is more than 2.5x projected 30-day demand (25). Excess inventory: 643 units.
PROD-111,Ergonomic Mesh Office Chair,Furniture,690,53,68,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (690) is more than 2.5x projected 30-day demand (68). Excess inventory: 622 units.
PROD-112,Electric Standing Desk 55 inch,Furniture,379,34,41,INCREASING DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (379) is more than 2.5x projected 30-day demand (41). Excess inventory: 338 units.
PROD-113,Bookshelf 5-Tier Industrial,Furniture,155,28,27,LOW DEMAND,REORDER RECOMMENDED,Place purchase order within 8 days to maintain buffer stock.,Stock level (155) has reached or dropped below reorder point (179).
PROD-114,Executive High-Back Chair,Furniture,533,34,32,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (533) is more than 2.5x projected 30-day demand (32). Excess inventory: 501 units.
PROD-115,Waterproof Breathable Rain Jacket,Apparel,424,19,18,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (424) is more than 2.5x projected 30-day demand (18). Excess inventory: 406 units.
PROD-116,Cotton Pullover Hoodie,Apparel,635,45,45,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (635) is more than 2.5x projected 30-day demand (45). Excess inventory: 590 units.
PROD-117,Performance Running Shoes,Apparel,461,32,35,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (461) is more than 2.5x projected 30-day demand (35). Excess inventory: 426 units.
PROD-118,Merino Wool Thermal Socks 3-Pack,Apparel,197,55,57,STABLE DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (197) is more than 2.5x projected 30-day demand (57). Excess inventory: 140 units.
PROD-119,Stainless Steel French Press,Home & Kitchen,295,50,49,STABLE DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (295) is more than 2.5x projected 30-day demand (49). Excess inventory: 246 units.
PROD-120,Air Fryer XL 5.8 Quart,Home & Kitchen,465,38,43,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (465) is more than 2.5x projected 30-day demand (43). Excess inventory: 422 units.
PROD-121,Cast Iron Dutch Oven 6 Qt,Home & Kitchen,577,29,26,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (577) is more than 2.5x projected 30-day demand (26). Excess inventory: 551 units.
PROD-122,Robotic Vacuum Cleaner,Home & Kitchen,694,15,15,LOW DEMAND,POTENTIAL OVERSTOCK,Halt immediate replenishment & consider promotional discount.,Current stock (694) is more than 2.5x projected 30-day demand (15). Excess inventory: 679 units.
